#           y           U_x           U_y           U_z             p
            0             0             0             0    0.00916695
          0.1    0.00566367             0   1.73472e-19    0.00916695
          0.2     0.0113273             0   3.46945e-19    0.00916695
          0.3      0.016991             0   5.20417e-19    0.00916695
          0.4     0.0226547             0   6.93889e-19    0.00916695
          0.5     0.0283184             0   8.67362e-19    0.00916695
          0.6      0.222655             0   6.93889e-19    0.00916695
          0.7      0.416991             0   5.20417e-19    0.00916695
          0.8      0.611327             0   3.46945e-19    0.00916695
          0.9      0.805664             0   1.73472e-19    0.00916695
            1             1             0             0    0.00916695
