#           x           U_x           U_y           U_z             p
            0             0             0             0    -0.0238802
          0.1    -0.0111172     0.0420954             0     -0.022539
          0.2    -0.0253809     0.0346501             0    -0.0171189
          0.3    -0.0353095     0.0238096             0   -0.00811364
          0.4    -0.0407145     0.0119474             0    0.00308519
          0.5    -0.0423939      -2.5e-09             0     0.0152841
          0.6    -0.0407145    -0.0119474             0     0.0274828
          0.7    -0.0353095    -0.0238096             0     0.0386817
          0.8    -0.0253809    -0.0346501             0     0.0476869
          0.9    -0.0111172    -0.0420954             0     0.0531071
            1             0             0             0     0.0544482
