#           y           U_x           U_y           U_z             p
            0             0             0             0     0.0266549
          0.1    -0.0121133    -0.0029546             0     0.0269929
          0.2    -0.0137316   -0.00775294             0     0.0285066
          0.3    -0.0170218    -0.0134696             0     0.0315324
          0.4    -0.0224769    -0.0205564             0     0.0363882
          0.5    -0.0309543    -0.0294707             0     0.0435432
          0.6    -0.0436043    -0.0401547             0     0.0535511
          0.7     -0.060002    -0.0505922             0     0.0667496
          0.8    -0.0649362    -0.0531633             0     0.0822643
          0.9     0.0450729    -0.0326268             0      0.095688
            1             1             0             0      0.100188
