#           x           U_x           U_y           U_z             p
            0             0             0             0    -0.0136423
          0.1    -0.0218996      0.121405             0    -0.0159653
          0.2     -0.064285      0.164105             0    -0.0189382
          0.3     -0.110436      0.161193             0    -0.0232208
          0.4     -0.154379      0.125858             0    -0.0286021
          0.5     -0.193016     0.0580207             0    -0.0324921
          0.6     -0.219366    -0.0420996             0    -0.0307888
          0.7     -0.217691     -0.158398             0     -0.020667
          0.8     -0.165563     -0.237657             0    -0.0061861
          0.9     -0.065145     -0.188591             0  -0.000780054
            1             0             0             0   -0.00682192
