"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.055729,0.00087349,0,0.0025753,1,0.087,0.5,0.087,1
-0.056308,0.00088629,0,0.0025729,1,0.088,0.5,0.088,1
-0.056887,0.0008991,0,0.0025704,1,0.089,0.5,0.089,1
-0.057466,0.0009119,0,0.002568,1,0.09,0.5,0.09,1
-0.058045,0.00092471,0,0.0025656,1,0.091,0.5,0.091,1
-0.058624,0.00093751,0,0.0025631,1,0.092,0.5,0.092,1
-0.059203,0.00095032,0,0.0025607,1,0.093,0.5,0.093,1
-0.059782,0.00096312,0,0.0025582,1,0.094,0.5,0.094,1
-0.060361,0.00097593,0,0.0025558,1,0.095,0.5,0.095,1
-0.06094,0.00098873,0,0.0025533,1,0.096,0.5,0.096,1
-0.061519,0.0010015,0,0.0025509,1,0.097,0.5,0.097,1
-0.062098,0.0010143,0,0.0025484,1,0.098,0.5,0.098,1
-0.062677,0.0010271,0,0.002546,1,0.099,0.5,0.099,1
-0.063256,0.00104,0,0.0025436,1,0.1,0.5,0.1,1
-0.063772,0.0010584,0,0.0025349,1,0.101,0.5,0.101,1
-0.064289,0.0010769,0,0.0025263,1,0.102,0.5,0.102,1
-0.064805,0.0010954,0,0.0025177,1,0.103,0.5,0.103,1
-0.065322,0.0011139,0,0.0025091,1,0.104,0.5,0.104,1
-0.065838,0.0011323,0,0.0025005,1,0.105,0.5,0.105,1
-0.066355,0.0011508,0,0.0024919,1,0.106,0.5,0.106,1
-0.066871,0.0011693,0,0.0024833,1,0.107,0.5,0.107,1
-0.067388,0.0011878,0,0.0024747,1,0.108,0.5,0.108,1
-0.067905,0.0012062,0,0.0024661,1,0.109,0.5,0.109,1
-0.068421,0.0012247,0,0.0024575,1,0.11,0.5,0.11,1
-0.068938,0.0012432,0,0.0024489,1,0.111,0.5,0.111,1
-0.069454,0.0012617,0,0.0024402,1,0.112,0.5,0.112,1
-0.069971,0.0012801,0,0.0024316,1,0.113,0.5,0.113,1
-0.070487,0.0012986,0,0.002423,1,0.114,0.5,0.114,1
-0.071004,0.0013171,0,0.0024144,1,0.115,0.5,0.115,1
-0.07152,0.0013356,0,0.0024058,1,0.116,0.5,0.116,1
-0.072037,0.001354,0,0.0023972,1,0.117,0.5,0.117,1
-0.072554,0.0013725,0,0.0023886,1,0.118,0.5,0.118,1
-0.07307,0.001391,0,0.00238,1,0.119,0.5,0.119,1
-0.073587,0.0014095,0,0.0023714,1,0.12,0.5,0.12,1
-0.074103,0.0014279,0,0.0023628,1,0.121,0.5,0.121,1
-0.07462,0.0014464,0,0.0023542,1,0.122,0.5,0.122,1
-0.075136,0.0014649,0,0.0023455,1,0.123,0.5,0.123,1
-0.075653,0.0014834,0,0.0023369,1,0.124,0.5,0.124,1
-0.076169,0.0015019,0,0.0023283,1,0.125,0.5,0.125,1
-0.076686,0.0015203,0,0.0023197,1,0.126,0.5,0.126,1
-0.077203,0.0015388,0,0.0023111,1,0.127,0.5,0.127,1
-0.077719,0.0015573,0,0.0023025,1,0.128,0.5,0.128,1
-0.078236,0.0015758,0,0.0022939,1,0.129,0.5,0.129,1
-0.078752,0.0015942,0,0.0022853,1,0.13,0.5,0.13,1
-0.079269,0.0016127,0,0.0022767,1,0.131,0.5,0.131,1
-0.079785,0.0016312,0,0.0022681,1,0.132,0.5,0.132,1
-0.080302,0.0016497,0,0.0022594,1,0.133,0.5,0.133,1
-0.080819,0.0016681,0,0.0022508,1,0.134,0.5,0.134,1
-0.081335,0.0016866,0,0.0022422,1,0.135,0.5,0.135,1
-0.081852,0.0017051,0,0.0022336,1,0.136,0.5,0.136,1
-0.082368,0.0017236,0,0.002225,1,0.137,0.5,0.137,1
-0.082885,0.001742,0,0.0022164,1,0.138,0.5,0.138,1
-0.083401,0.0017605,0,0.0022078,1,0.139,0.5,0.139,1
-0.083918,0.001779,0,0.0021992,1,0.14,0.5,0.14,1
-0.084434,0.0017975,0,0.0021906,1,0.141,0.5,0.141,1
-0.084951,0.0018159,0,0.002182,1,0.142,0.5,0.142,1
-0.085468,0.0018344,0,0.0021734,1,0.143,0.5,0.143,1
-0.085984,0.0018529,0,0.0021647,1,0.144,0.5,0.144,1
-0.086501,0.0018714,0,0.0021561,1,0.145,0.5,0.145,1
-0.087017,0.0018898,0,0.0021475,1,0.146,0.5,0.146,1
-0.087534,0.0019083,0,0.0021389,1,0.147,0.5,0.147,1
-0.08805,0.0019268,0,0.0021303,1,0.148,0.5,0.148,1
-0.088567,0.0019453,0,0.0021217,1,0.149,0.5,0.149,1
-0.089083,0.0019638,0,0.0021131,1,0.15,0.5,0.15,1
-0.089567,0.0019947,0,0.0020939,1,0.151,0.5,0.151,1
-0.090051,0.0020256,0,0.0020746,1,0.152,0.5,0.152,1
-0.090534,0.0020565,0,0.0020554,1,0.153,0.5,0.153,1
