#           y           U_x           U_y           U_z             p
            0             0             0             0    0.00838758
          0.1     -0.030368    -0.0123404             0    0.00716192
          0.2    -0.0626468    -0.0421525             0    0.00608704
          0.3     -0.103707    -0.0877156             0    0.00426519
          0.4     -0.154778      -0.14676             0  -0.000927288
          0.5     -0.199613     -0.207172             0    -0.0132754
          0.6     -0.200958     -0.243493             0    -0.0335912
          0.7     -0.118392     -0.230337             0    -0.0515979
          0.8     0.0712791     -0.166823             0    -0.0478466
          0.9      0.404285    -0.0777618             0    -0.0158921
            1             1             0             0     0.0068138
